Last Name,First Name,Title,Start,End,Fed Agency/Dept
Thomas,Lee M.,EPA Administrator,2/8/1985,1/20/1989,EPA
Moore,John,EPA Administrator (Acting),1/21/1989,2/5/1989,EPA
Reilly,William K.,EPA Administrator,2/6/1989,1/20/1993,EPA
Browner,Carol M.,EPA Administrator,1/22/1993,1/19/2001,EPA
McCabe,W. Michael,EPA Administrator (Acting),1/20/2001,1/30/2001,EPA
Whitman,Christine Todd,EPA Administrator,1/31/2001,6/27/2003,EPA
Fisher ,Linda J.,EPA Administrator (Acting),6/28/2003,7/11/2003,EPA
Horinko,Marianne L.,EPA Administrator (Acting),7/12/2003,11/5/2003,EPA
Leavitt,Michael O.,EPA Administrator,11/6/2003,1/25/2005,EPA
Johnson,Stephen L.,EPA Administrator (Acting),1/26/2005,5/1/2005,EPA
Johnson,Stephen L.,EPA Administrator,5/2/2005,1/20/2009,EPA
Nakayama,Granta,EPA Administrator (Acting),1/20/2009,1/21/2009,EPA
Shapiro,Mike,EPA Administrator (Acting),1/22/2009,1/25/2009,EPA
Jackson,Lisa P.,EPA Administrator,1/26/2009,2/14/2013,EPA
Perciasepe,Bob,EPA Administrator (Acting),2/15/2013,7/18/2013,EPA
McCarthy,Gina,EPA Administrator,7/19/2013,1/20/2017,EPA
McCabe,Catherine,EPA Administrator,1/20/2017,2/17/2017,EPA
Pruitt,Scott,EPA Administrator,2/17/2017,7/6/2018,EPA
Wheeler,Andrew,EPA Administrator (Acting),7/7/2018,2/28/2019,EPA
Wheeler,Andrew,EPA Administrator,2/28/2019,1/19/2021,EPA
Nishida,Jane,EPA Administrator (Acting),1/20/2021,3/11/2021,EPA
Regan,Michael,EPA Administrator,3/11/2021,current,EPA
Heiberg III,Lt. Gen. Elvin R.,USACE Chief of Engineers,9/14/1984,5/5/1988,USACE
Hatch,Lt. Gen. Henry J.,USACE Chief of Engineers,6/17/1988,6/4/1992,USACE
Williams,Lt. Gen. Arthur E. ,USACE Chief of Engineers,8/24/1992,6/30/1996,USACE
Ballard,Lt. Gen. Joe N.,USACE Chief of Engineers,10/1/1996,8/2/2000,USACE
Flowers,Lt. Gen. Robert B.,USACE Chief of Engineers,10/23/2000,7/1/2004,USACE
Strock,Lt. Gen. Carl A.,USACE Chief of Engineers,7/1/2004,5/17/2007,USACE
Van Antwerp,Lt. Gen. Robert L. ,USACE Chief of Engineers,5/18/2007,6/17/2011,USACE
Bostick,Lt. Gen. Thomas P.,USACE Chief of Engineers,5/22/2012,5/19/2016,USACE
Semonite,Lt. Gen. Todd T.,USACE Chief of Engineers,5/19/2016,9/10/2020,USACE
Spellmon,Lt. Gen. Scott A. ,USACE Chief of Engineers,9/10/2020,current,USACE
Hodel,Donald P.,Secretary of Interior,1985,1989,Dept of Interior
Lujan,Manuel,Secretary of Interior,1989,1993,Dept of Interior
Babbitt ,Bruce,Secretary of Interior,1993,2001,Dept of Interior
Norton,Gale A.,Secretary of Interior,2001,2006,Dept of Interior
Kempthorne,Dirk,Secretary of Interior,2006,2009,Dept of Interior
Salazar,Ken,Secretary of Interior,2009,2013,Dept of Interior
