OBJECTID,STATE_TERR,Judicial_2
1,Alabama,Middle District
2,Alabama,Northern District
3,Alabama,Southern District
4,Alaska,District of Alaska
5,Arizona,District of Arizone
6,Arkansas,Eastern District
7,Arkansas,Western District
8,California,Central District
9,California,Eastern District
10,California,Northern District
11,California,Southern District
12,Colorado,District of Colorado
13,Connecticut,District of Connecticut
14,Delaware,District of Delaware
15,District of Columbia,District of Columbia
16,Florida,Middle District
17,Florida,Northern District
18,Florida,Southern District
19,Georgia,Middle District
20,Georgia,Northern District
21,Georgia,Southern District
22,Hawaii,District of Hawaii
23,Idaho,District of Idaho
24,Illinois,Central District
25,Illinois,Northern District
26,Illinois,Southern District
27,Indiana,Northern District
28,Indiana,Southern District
29,Iowa,Northern District
30,Iowa,Southern District
31,Kansas,District of Kansas
32,Kentucky,Eastern District
33,Kentucky,Western District
34,Louisiana,Eastern District
35,Louisiana,Middle District
36,Louisiana,Western District
37,Maine,District of Maine
38,Maryland,District of Maryland
39,Massachusetts,District of Massachusetts
40,Michigan,Eastern District
41,Michigan,Western District
42,Minnesota,District of Minnesota
43,Mississippi,Northern District
44,Mississippi,Southern District
45,Missouri,Eastern District
46,Missouri,Western District
47,Montana,District of Montana
48,Nebraska,District of Nebraska
49,Nevada,District of Nevada
50,New Hampshire,District of New Hampshire
51,New Jersey,District of New Jersey
52,New Mexico,District of New Mexico
53,New York,Eastern District
54,New York,Northern District
55,New York,Southern District
56,New York,Western District
57,North Carolina,Eastern District
58,North Carolina,Middle District
59,North Carolina,Western District
60,North Dakota,District of North Dakota
61,Ohio,Northern District
62,Ohio,Southern District
63,Oklahoma,Eastern District
64,Oklahoma,Northern District
65,Oklahoma,Western District
66,Oregon,District of Oregon
67,Pennsylvania,Eastern District
68,Pennsylvania,Middle District
69,Pennsylvania,Western District
70,Rhode Island,District of Rhode Island
71,South Carolina,District of South Carolina
72,South Dakota,District of South Dakota
73,Tennessee,Eastern District
74,Tennessee,Middle District
75,Tennessee,Western District
76,Texas,Eastern District
77,Texas,Northern District
78,Texas,Southern District
79,Texas,Western District
80,Utah,District of Utah
81,Vermont,District of Vermont
82,Virginia,Eastern District
83,Virginia,Western District
84,Washington,Eastern District
85,Washington,Western District
86,West Virginia,Northern District
87,West Virginia,Southern District
88,Wisconsin,Eastern District
89,Wisconsin,Western District
90,Wyoming,District of Wyoming
