CDD_ID_A,CDD_ID_D,CDD_ID_DATE,APPELLAN,APPELANT TYPE,APPELLEE,APPELEE TYPE,,
2-05-8700052,NA,2-05-8700052-1987-05-03,B.F. ET AL,BIZ,KENNECOTT ET A,BIZ,,B.F. ET AL v. KENNECOTT ET A
1-01-8701786,NA,1-01-8701786-1988-08-03,BEGGS & COBB,BIZ,CANNON,BIZ,,BEGGS & COBB v. CANNON
5-3L-1002179,NA,5-3L-1002179-2010-08-10,BP EXPLORATION & PRO,BIZ,"TRANSOCEAN, LIMITED",BIZ,,"BP EXPLORATION & PRO v. TRANSOCEAN, LIMITED"
1-01-8701786,NA,1-01-8701786-1988-08-03,"BRASS, INC.",BIZ,CANNONS ENG,BIZ,,"BRASS, INC. v. CANNONS ENG"
1-03-1100023,NA,1-03-1100023-2011-01-26,CNA HOLDINGS LLC,BIZ,"BLACK & DECKER, INC.",BIZ,,"CNA HOLDINGS LLC v. BLACK & DECKER, INC."
1-01-8701786,NA,1-01-8701786-1988-08-03,CROWN ROLL LEAF,BIZ,CANNONS ENG,BIZ,,CROWN ROLL LEAF v. CANNONS ENG
1-01-8701786,NA,1-01-8701786-1988-08-03,CYN OIL,BIZ,CANNONS ENG,BIZ,,CYN OIL v. CANNONS ENG
9-73-8308034,NA,9-73-8308034-1983-12-09,GOODYEAR,BIZ,CADILLAC,BIZ,,GOODYEAR v. CADILLAC
9-73-8307996,NA,9-73-8307996-1983-12-09,MICHELIN,BIZ,CADILLAC,BIZ,,MICHELIN v. CADILLAC
2-05-8700052,NA,2-05-8700052-1987-05-03,NAUGATUCK ET AL,BIZ,KERITE ET AL,BIZ,,NAUGATUCK ET AL v. KERITE ET AL
1-01-8701786,NA,1-01-8701786-1989-08-03,OLIN HUNT,BIZ,CANNONS,BIZ,,OLIN HUNT v. CANNONS
8-63-8700021,NA,8-63-8700021-1987-02-26,ACETO AGRICULTUR,BIZ,USA STATE,FED,,ACETO AGRICULTUR v. USA STATE
6-45-9675279,NA,6-45-9675279-1996-11-18,AKZO,BIZ,USA,FED,,AKZO v. USA
6-45-9675279,NA,6-45-9675279-1996-11-18,AKZO,BIZ,USA,FED,,AKZO v. USA
9-81-9400940,NA,9-81-9400940-1994-08-05,AMERICAN ET AL,BIZ,NATIONAL ET AL,FED,,AMERICAN ET AL v. NATIONAL ET AL
9-79-9400940,NA,9-79-9400940-1995-02-10,AMERICAN ET AL,BIZ,NATIONAL ET AL,FED,,AMERICAN ET AL v. NATIONAL ET AL
8-64-0301555,NA,8-64-0301555-2003-07-24,AMERICAN ET AL,BIZ,U.S. ET AL,FED,,AMERICAN ET AL v. U.S. ET AL
9-71-2100349,NA,9-71-2100349-2021-01-14,AMERICAN FARM BUREAU,BIZ,U.S. DEPARTMENT OF T,FED,,AMERICAN FARM BUREAU v. U.S. DEPARTMENT OF T
9-71-2100561,NA,9-71-2100561-2021-01-25,AMERICAN FARM BUREAU,BIZ,U.S. DEPARTMENT OF T,FED,,AMERICAN FARM BUREAU v. U.S. DEPARTMENT OF T
0-90-0700484,NA,0-90-0700484-2007-03-13,AMERICAN FOREST RESO,BIZ,HALL,FED,,AMERICAN FOREST RESO v. HALL
10-82-9602339,NA,10-82-9602339-1996-10-07,CAMBRIDGE ET AL,BIZ,GSA ET AL,FED,,CAMBRIDGE ET AL v. GSA ET AL
2-08-0800085,NA,2-08-0800085-1991-09-10,CLAIROL,BIZ,USA ET AL,FED,,CLAIROL v. USA ET AL
1-01-9312825,NA,1-01-9312825-1993-12-02,"COMPANY, ET AL",BIZ,USA,FED,,"COMPANY, ET AL v. USA"
2-05-9400112,NA,2-05-9400112-1994-04-04,CONSTRUCTION,BIZ,USA ET AL,FED,,CONSTRUCTION v. USA ET AL
8-64-8000469,NA,8-64-8000469-1980-09-11,DAIKIN APPLIED AMERI,BIZ,UNITED STATES OF AME,FED,,DAIKIN APPLIED AMERI v. UNITED STATES OF AME
8-63-9200375,NA,8-63-9200375-1992-06-10,DICO,BIZ,DIAMOND ET AL,FED,,DICO v. DIAMOND ET AL
1-01-0401225,NA,1-01-0401225-2004-10-22,DOMINION,BIZ,JOHNSON ET AL,FED,,DOMINION v. JOHNSON ET AL
9-79-1400951,NA,9-79-1400951-2014-06-13,"EASON LAND CO., LLC",BIZ,U.S. DEPARTMENT OF T,FED,,"EASON LAND CO., LLC v. U.S. DEPARTMENT OF T"
4-25-8900642,NA,4-25-8900642-1989-05-30,FIBER,BIZ,US ET AL,FED,,FIBER v. US ET AL
9-76-9800406,NA,9-76-9800406-1998-10-20,FMC ET AL,BIZ,USA,FED,,FMC ET AL v. USA
9-77-0400022,NA,9-77-0400022-2003-05-15,GOODRICH ET AL,BIZ,USFS ET AL,FED,,GOODRICH ET AL v. USFS ET AL
9-77-9400108,NA,9-77-9400108-1994-08-30,INLAND ET AL,BIZ,U.S.,FED,,INLAND ET AL v. U.S.
9-77-1600053,NA,9-77-1600053-2016-04-05,LIBBY PLACER MINING,BIZ,UNITED STATES DEPART,FED,,LIBBY PLACER MINING v. UNITED STATES DEPART
3-14-0900821,NA,3-14-0900821-2009-04-30,LOCKHEED MARTIN CORP,BIZ,UNITED STATES OF AME,FED,,LOCKHEED MARTIN CORP v. UNITED STATES OF AME
3-12-8504386,NA,3-12-8504386-1985-09-10,MANOR HEALTH CAR,BIZ,USA,FED,,MANOR HEALTH CAR v. USA
6-45-8510309,NA,6-45-8510309-1985-06-28,MONITOR,BIZ,USA,FED,,MONITOR v. USA
0-90-7801712,NA,0-90-7801712-1978-09-12,MONONGAHELA POWE,BIZ,"JOHN O. MARSH,",FED,,"MONONGAHELA POWE v. JOHN O. MARSH,"
3-13-8503060,NA,3-13-8503060-1985-05-30,"NICOLET, INC.",BIZ,USA,FED,,"NICOLET, INC. v. USA"
9-81-9101156,NA,9-81-9101156-1992-07-20,NORTHWEST,BIZ,NATIONAL ET AL,FED,,NORTHWEST v. NATIONAL ET AL
9-81-0400666,NA,9-81-0400666-2004-03-03,NW,BIZ,NMFS ET AL,FED,,NW v. NMFS ET AL
9-72-1201303,NA,9-72-1201303-2012-04-30,PACIFIC COAST FEDERA,BIZ,UNITED STATES DEPART,FED,,PACIFIC COAST FEDERA v. UNITED STATES DEPART
1-04-1502328,NA,1-04-1502328-2015-09-25,PUERTO RICO INDUSTRI,BIZ,UNITED STATES,FED,,PUERTO RICO INDUSTRI v. UNITED STATES
9-7--9800006,NA,9-7--9800006-1998-03-20,S&S,BIZ,USACE ET AL,FED,,S&S v. USACE ET AL
9-81-8300252,NA,9-81-8300252-1983-02-25,STANDARD ET AL,BIZ,USA,FED,,STANDARD ET AL v. USA
8-63-0200352,NA,8-63-0200352-2002-07-19,TITAN,BIZ,EPA,FED,,TITAN v. EPA
9-81-9201025,NA,9-81-9201025-1992-06-30,TRIDENT,BIZ,USA,FED,,TRIDENT v. USA
3-13-8503060,NA,3-13-8503060-1985-05-30,TURNER&NEWALL PL,BIZ,USA,FED,,TURNER&NEWALL PL v. USA
9-73-9100589,NA,9-73-9100589-1992-08-21,UNION OIL COMPANY OF,BIZ,UNITED STATES OF AME,FED,,UNION OIL COMPANY OF v. UNITED STATES OF AME
9-73-9400127,NA,9-73-9400127-1994-10-20,VISTA,BIZ,USA,FED,,VISTA v. USA
0-90-8801812,NA,0-90-8801812-1988-07-01,LLOYD MYERS CO,BIZ,LYNG,IND,,LLOYD MYERS CO v. LYNG
9-79-9406323,NA,9-79-9406323-1994-09-26,WESTERN,BIZ,GLICKMAN ET AL,IND,,WESTERN v. GLICKMAN ET AL
9-79-9406323,NA,9-79-9406323-1994-09-26,WESTERN ET AL,BIZ,GLICKMAN ET AL,IND,,WESTERN ET AL v. GLICKMAN ET AL
5-39-9100255,NA,5-39-9100255-1991-04-09,DOW,BIZ,CAMANCHE,LOC,,DOW v. CAMANCHE
