CDD_ID_A,CDD_ID_D,CDD_ID_row,DISTRICT,OFFICE,DOFFICE,DKTDATE,DDKTDATE,JUDGDATE,FILEDATE,TERMDATE,JURIS,DJURIS,DISP,JUDGMENT,ADISP,OUTCOME,DPLT,DPLT_typ,DDEF,DDEF_typ,PLT,DEF,appellant_PLT_DEF,appellee_PLT_DEF,match_type,match_type_update,yr_file,yr_term,PLT_typ,DEF_typ,row_add,ID
0-90-0000076,0-90-0000076,1,90,1,1,2002-10-10,2000-01-13,2003-04-11,2000-01-13,2001-01-05,2,US govt defendant,13,-8,5,-8,"SAVE THE MANATEE, ET AL",NGO,"BALLARD, ET AL",FED,FLOWERS ET AL,SAVE ET AL,DEF,PLT,STRONG,STRONG,2002,2003,FED,NGO,1,0-90-0000076-1
0-90-0000139,0-90-0000139,3,90,1,1,2002-08-07,2000-01-21,2003-08-06,2000-01-21,2003-11-05,2,US govt defendant,14,-8,4,-8,"AUDUBON NAT. SOCIETY, ET AL",NGO,"NATIONAL PARK SVC., ET AL",FED,BELL ET AL,AUDBN ET AL,DEF,PLT,WEAK,WEAK,2002,2003,FED,NGO,1,0-90-0000139-1
0-90-0000139,0-90-0000139,3,90,1,1,2002-11-29,2000-01-21,2003-08-06,2000-01-21,2003-11-05,2,US govt defendant,14,-8,4,-8,"AUDUBON NAT. SOCIETY, ET AL",NGO,"NATIONAL PARK SVC., ET AL",FED,BELL ET AL,AUDBN ET AL,DEF,PLT,WEAK,WEAK,2002,2003,FED,NGO,2,0-90-0000139-2
0-90-0000139,0-90-0000139,3,90,1,1,2002-09-10,2000-01-21,2002-10-01,2000-01-21,2003-11-05,2,US govt defendant,14,-8,5,-8,"AUDUBON NAT. SOCIETY, ET AL",NGO,"NATIONAL PARK SVC., ET AL",FED,NATL ET AL,AUDBN ET AL,DEF,PLT,WEAK,WEAK,2002,2002,FED,NGO,3,0-90-0000139-3
0-90-0000274,0-90-0000274,6,90,1,1,2002-04-23,2000-02-11,2003-06-03,2000-02-11,2002-03-28,2,US govt defendant,6,1,1,2,"CITIZENS COAL COUN., ET AL",LOC,BABBITT,FED,CTZN ET AL,NORTON,PLT,DEF,MOD,MOD,2002,2003,LOC,FED,1,0-90-0000274-1
0-90-0000274,0-90-0000274,6,90,1,1,2002-07-30,2000-02-11,2003-06-03,2000-02-11,2002-03-28,2,US govt defendant,6,1,1,2,"CITIZENS COAL COUN., ET AL",LOC,BABBITT,FED,CTZN ET AL,NORTON,PLT,DEF,MOD,MOD,2002,2003,LOC,FED,2,0-90-0000274-2
0-90-0000274,0-90-0000274,6,90,1,1,2002-04-23,2000-02-11,2003-06-03,2000-02-11,2002-03-28,2,US govt defendant,6,1,1,2,"CITIZENS COAL COUN., ET AL",LOC,BABBITT,FED,NATL ET AL,CTZN,DEF,PLT,STRONG,STRONG,2002,2003,FED,LOC,3,0-90-0000274-3
0-90-0000274,0-90-0000274,6,90,1,1,2002-08-05,2000-02-11,2003-06-03,2000-02-11,2002-03-28,2,US govt defendant,6,1,1,2,"CITIZENS COAL COUN., ET AL",LOC,BABBITT,FED,NATL ET AL,CTZN,DEF,PLT,STRONG,STRONG,2002,2003,FED,LOC,4,0-90-0000274-4
0-90-0000274,0-90-0000274,6,90,1,1,2002-06-11,2000-02-11,2003-06-03,2000-02-11,2002-03-28,2,US govt defendant,6,1,1,2,"CITIZENS COAL COUN., ET AL",LOC,BABBITT,FED,NORTON ET AL,CTZN,DEF,PLT,MOD,MOD,2002,2003,FED,LOC,5,0-90-0000274-5
0-90-0000274,0-90-0000274,6,90,1,1,2002-08-07,2000-02-11,2003-06-03,2000-02-11,2002-03-28,2,US govt defendant,6,1,1,2,"CITIZENS COAL COUN., ET AL",LOC,BABBITT,FED,NORTON ET AL,CTZN,DEF,PLT,MOD,MOD,2002,2003,FED,LOC,6,0-90-0000274-6
