CDD_ID_A,CDD_ID_D,CDD_ID_row,DISTRICT,OFFICE,DOFFICE,DKTDATE,DDKTDATE,FILEDATE,TERMDATE,JURIS,DJURIS,DISP,JUDGMENT,ADISP,OUTCOME,DPLT,DPLT_typ,DDEF,DDEF_typ,PLT,DEF,appellant_PLT_DEF,appellee_PLT_DEF,match_type,match_type_update,PLT_typ,DEF_typ,yr_file,row_add,ID
0-90-0000076,0-90-0000076,1,90,1,1,10/10/02,1/13/00,1/13/00,1/5/01,2,US govt defendant,13,-8,5,-8,"SAVE THE MANATEE, ET AL",NGO,"BALLARD, ET AL",FED,FLOWERS ET AL,SAVE ET AL,DEF,PLT,STRONG,STRONG,FED,NGO,2002,1,0-90-0000076-1
0-90-0000139,0-90-0000139,3,90,1,1,8/7/02,1/21/00,1/21/00,11/5/03,2,US govt defendant,14,-8,4,-8,"AUDUBON NAT. SOCIETY, ET AL",NGO,"NATIONAL PARK SVC., ET AL",FED,BELL ET AL,AUDBN ET AL,DEF,PLT,WEAK,WEAK,FED,NGO,2002,1,0-90-0000139-1
0-90-0000139,0-90-0000139,3,90,1,1,11/29/02,1/21/00,1/21/00,11/5/03,2,US govt defendant,14,-8,4,-8,"AUDUBON NAT. SOCIETY, ET AL",NGO,"NATIONAL PARK SVC., ET AL",FED,BELL ET AL,AUDBN ET AL,DEF,PLT,WEAK,WEAK,FED,NGO,2002,2,0-90-0000139-2
0-90-0000139,0-90-0000139,3,90,1,1,9/10/02,1/21/00,1/21/00,11/5/03,2,US govt defendant,14,-8,5,-8,"AUDUBON NAT. SOCIETY, ET AL",NGO,"NATIONAL PARK SVC., ET AL",FED,NATL ET AL,AUDBN ET AL,DEF,PLT,WEAK,WEAK,NGO,NGO,2002,3,0-90-0000139-3
0-90-0000274,0-90-0000274,6,90,1,1,4/23/02,2/11/00,2/11/00,3/28/02,2,US govt defendant,6,1,1,2,"CITIZENS COAL COUN., ET AL",LOC,BABBITT,FED,CTZN ET AL,NORTON,PLT,DEF,MOD,MOD,LOC,FED,2002,1,0-90-0000274-1
0-90-0000274,0-90-0000274,6,90,1,1,7/30/02,2/11/00,2/11/00,3/28/02,2,US govt defendant,6,1,1,2,"CITIZENS COAL COUN., ET AL",LOC,BABBITT,FED,CTZN ET AL,NORTON,PLT,DEF,MOD,MOD,LOC,FED,2002,2,0-90-0000274-2
0-90-0000274,0-90-0000274,6,90,1,1,4/23/02,2/11/00,2/11/00,3/28/02,2,US govt defendant,6,1,1,2,"CITIZENS COAL COUN., ET AL",LOC,BABBITT,FED,NATL ET AL,CTZN,DEF,PLT,STRONG,STRONG,NGO,LOC,2002,3,0-90-0000274-3
0-90-0000274,0-90-0000274,6,90,1,1,8/5/02,2/11/00,2/11/00,3/28/02,2,US govt defendant,6,1,1,2,"CITIZENS COAL COUN., ET AL",LOC,BABBITT,FED,NATL ET AL,CTZN,DEF,PLT,STRONG,STRONG,NGO,LOC,2002,4,0-90-0000274-4
0-90-0000274,0-90-0000274,6,90,1,1,6/11/02,2/11/00,2/11/00,3/28/02,2,US govt defendant,6,1,1,2,"CITIZENS COAL COUN., ET AL",LOC,BABBITT,FED,NORTON ET AL,CTZN,DEF,PLT,MOD,MOD,FED,LOC,2002,5,0-90-0000274-5
0-90-0000274,0-90-0000274,6,90,1,1,8/7/02,2/11/00,2/11/00,3/28/02,2,US govt defendant,6,1,1,2,"CITIZENS COAL COUN., ET AL",LOC,BABBITT,FED,NORTON ET AL,CTZN,DEF,PLT,MOD,MOD,FED,LOC,2002,6,0-90-0000274-6
