fjc_ID,CIRCUIT,DISTRICT,OFFICE,DOCKET,FILEDATE,TERMDATE,PLT,PLT_typ,DEF,DEF_typ,DISP
11-3A-1001756-2010-08-06-1,11,3A,8,1001756,2010-08-06,2010-09-28,"UNITED STATES OF AMERIC, ET AL",FED,"CF INDUSTRIES, INCORPORATED",BIZ,5
2-07-8600673-1986-03-06-1,2,07,1,8600673,1986-03-06,1987-07-29,U S A,FED,APPLIED CIRCUITS INC,BIZ,14
2-05-8900279-1989-05-03-1,2,05,2,8900279,1989-05-03,1990-03-01,UNITED STATES OF AMERICA,FED,ENVIRITE CORPORATION,BIZ,5
2-07-8600674-1989-02-28-1,2,07,1,8600674,1989-02-28,1989-11-21,USA,FED,ELECTRONICS PLATING CORP.,BIZ,2
4-25-0501075-2005-12-07-1,4,25,2,0501075,2005-12-07,2006-05-08,BROWN,FED,RAWL SALES AND PROCESSING COMP,BIZ,1
4-20-9402693-1994-10-04-1,4,20,3,9402693,1994-10-04,1996-09-12,USA,FED,SMITH,IND,9
4-20-0500985-2005-03-31-1,4,20,1,0500985,2005-03-31,2005-07-20,USA,FED,HELENA CHEMICAL COMPANY,BIZ,13
9-7--8600353-1986-07-07-1,9,7-,3,8600353,1986-07-07,1988-07-29,US,FED,"MCINTOSH,R",BIZ,5
9-75-1200571-2012-10-23-1,9,75,1,1200571,2012-10-23,2012-11-29,UNITED STATES OF AMERICA,FED,"COUNTY OF MAUI, HAWAII",LOC,5
9-75-1800339-2018-09-07-1,9,75,1,1800339,2018-09-07,2018-10-25,UNITED STATES OF AMERICA,FED,"AZURE FISHERY LLC, ET AL",BIZ,14
8-69-9404006-1994-01-11-1,8,69,4,9404006,1994-01-11,1994-03-14,USA,FED,"MCCOOK, COUNTY OF, ET AL",LOC,4
9-79-9200469-1992-04-17-1,9,79,3,9200469,1992-04-17,1993-07-08,USA,FED,"MARTIN, ET AL",IND,13
9-7--1400247-2014-12-15-1,9,7-,3,1400247,2014-12-15,2017-04-18,UNITED STATES OF AMERICA,FED,MEHELICH,IND,9
3-12-8504558-1985-09-16-1,3,12,3,8504558,1985-09-16,1987-07-02,USA,FED,OCCIDENTIAL CHEMICAL CORP,BIZ,5
3-13-9100009-1991-03-08-1,3,13,2,9100009,1991-03-08,1991-03-27,USA,FED,"CIBA-GEIGY CORP., ET AL",BIZ,13
3-13-0804292-2008-09-05-1,3,13,2,0804292,2008-09-05,2009-03-27,"UNITED STATES OF AMERIC, ET AL",FED,"TEMRAC COMPANY, INC.",BIZ,5
6-47-8800338-1988-02-05-1,6,47,5,8800338,1988-02-05,1990-04-04,USA,FED,FAIRVIEW GENERAL HOSPITAL,LOC,5
1-04-9202075-1992-08-05-1,1,04,3,9202075,1992-08-05,1993-06-17,USA,FED,"P.R. INDUSTRIAL DEV., ET AL",BIZ,5
4-24-9700123-1997-09-03-1,4,24,5,9700123,1997-09-03,1998-10-23,USA,FED,"BESHARA MANAGEMENT, ET AL",BIZ,6
4-20-0101867-2001-04-05-1,4,20,7,0101867,2001-04-05,2005-02-09,WILLIAMS,FED,"IMC GLOBAL INC, ET AL",BIZ,13
10-82-0401918-2004-09-17-1,10,82,1,0401918,2004-09-17,2004-11-12,USA,FED,"OAKWOOD HOMES LLC, ET AL",BIZ,5
4-20-0103724-2001-09-17-1,4,20,7,0103724,2001-09-17,2005-02-04,KING,FED,"IMC GLOBAL INC, ET AL",BIZ,13
4-22-0800605-2008-06-11-1,4,22,1,0800605,2008-06-11,2008-08-29,"UNITED STATES OF AMERIC, ET AL",FED,CENTEX HOMES,BIZ,5
5-39-0600845-2006-05-10-1,5,39,3,0600845,2006-05-10,2006-08-28,UNITED STATES OF AMERICA,FED,CITY OF DALLAS,LOC,14
11-3A-9100072-1991-01-29-1,11,3A,3,9100072,1991-01-29,1991-02-01,USA,FED,ARVIDA/JMB PARTNERS,BIZ,5
10-84-9000355-1990-04-12-1,10,84,1,9000355,1990-04-12,1990-06-13,U S,FED,TRANSWESTERN PIPELINE CO,BIZ,5
9-73-0402823-2004-04-22-1,9,73,2,0402823,2004-04-22,2004-06-18,UNITED STATES OF AMERICA,FED,KEYSOR-CENTURY CORPORATION,BIZ,5
10-89-9301005-1993-02-19-1,10,89,1,9301005,1993-02-19,1996-06-06,USA,FED,"VALENTINE, ET AL",IND,13
3-91-1000048-2010-05-20-1,3,91,3,1000048,2010-05-20,2013-09-12,UNITED STATES OF AMERICA,FED,"GOVERNMENT OF THE VIRGI, ET AL",STA,5
2-06-1700470-2017-05-01-1,2,06,1,1700470,2017-05-01,2017-05-04,"UNITED STATES OF AMERIC, ET AL",FED,"MPM SILICONES, LLC",BIZ,13
9-7--9200199-1992-02-13-1,9,7-,3,9200199,1992-02-13,1996-09-24,WORTHINGTON,FED,EXXON CORP,BIZ,17
3-12-8802828-1989-02-23-1,3,12,2,8802828,1989-02-23,1989-02-28,UNITED STATES OF AMERICA,FED,"CHASE CHEMICAL COMPANY, INC.",BIZ,13
