fjc_ID,CIRCUIT,DISTRICT,OFFICE,DOCKET,FILEDATE,TERMDATE,PLT,PLT_typ,DEF,DEF_typ,DISP
9-81-1700524-2017-04-04-1,9,81,2,1700524,2017-04-04,2018-08-10,PUGET SOUNDKEEPER ALLIANCE,NGO,ACE METAL CORPORATION,BIZ,5
4-20-8502583-1985-09-24-1,4,20,1,8502583,1985-09-24,1988-06-01,NATL RESOURCES ETAL,NGO,HERRINGTON ETA,FED,3
3-12-8902283-1992-08-11-1,3,12,2,8902283,1992-08-11,1993-04-26,"PUBLIC INTEREST RESE, ET AL",NGO,GAF CORP.,BIZ,5
9-79-9106284-1991-07-10-1,9,79,6,9106284,1991-07-10,1993-04-14,"ONRC, ET AL",NGO,"BUREAU OF RECLAMATIO, ET AL",FED,14
9-77-1300006-2013-01-15-1,9,77,9,1300006,2013-01-15,2014-04-25,"WILDWEST INSTITUTE, ET AL",NGO,"ASHE, ET AL",FED,6
9-79-0203051-2002-06-14-1,9,79,6,0203051,2002-06-14,2003-06-02,OREGON NATURAL RESOURCES COUNC,NGO,LINK,FED,13
0-90-1102064-2011-11-17-1,0,90,1,1102064,2011-11-17,2013-07-18,"WILDEARTH GUARDIANS, ET AL",NGO,"UNITED STATES ENVIRONME, ET AL",FED,12
9-79-9100476-1991-05-23-1,9,79,3,9100476,1991-05-23,1992-07-24,"NORTHWEST ENVIRONMEN, ET AL",NGO,"U.S. ARMY CORP OF EN, ET AL",FED,6
4-20-1703412-2017-12-19-1,4,20,2,1703412,2017-12-19,2021-09-02,SOUTH CAROLINA COASTAL CONSERV,NGO,"UNITED STATES ARMY CORP, ET AL",FED,6
9-71-9904610-1999-10-18-1,9,71,3,9904610,1999-10-18,2000-11-29,NORTHERN CA RIVER,NGO,"REDWOOD OIL COMPANY, ET AL",BIZ,5
4-17-9800827-1998-10-28-1,4,17,5,9800827,1998-10-28,1999-03-23,CAPE FEAR ENVIRONMEN,NGO,TOWN OF ERWIN,LOC,13
10-84-2200387-2022-05-19-1,10,84,1,2200387,2022-05-19,2022-10-14,CENTER FOR BIOLOGICAL DIVERSIT,NGO,"U.S. FISH AND WILDLIFE , ET AL",FED,13
7-55-8700479-1987-08-18-1,7,55,3,8700479,1987-08-18,1987-12-15,ATLANTIC STATES LEGAL,NGO,"ROLLCOATER, INC",BIZ,12
9-70-9500812-1995-04-21-1,9,70,2,9500812,1995-04-21,1995-04-26,DON'T WASTE ARIZONA,NGO,AZ MARBLE INDUSTRIES,BIZ,5
4-25-1411333-2014-02-27-1,4,25,3,1411333,2014-02-27,2015-10-28,"OHIO VALLEY ENVIRONMENT, ET AL",NGO,POCAHONTAS LAND CORPORATION,BIZ,12
3-91-9000005-1990-01-12-1,3,91,1,9000005,1990-01-12,1994-07-19,V I CONSERVATION SOCIETY,NGO,ST CROIX COASTAL ZONE COASTAL,BIZ,14
5-3L-9503002-1995-09-12-1,5,3L,2,9503002,1995-09-12,1999-06-24,LA ENVIRONMENTAL,NGO,"EVANS COOPERAGE CO, ET AL",BIZ,13
9-72-0501608-2005-08-11-1,9,72,2,0501608,2005-08-11,2007-09-12,EARTH ISLAND INSTITUTE,NGO,UNITED STATES FOREST SERVICE,FED,13
9-7--1200189-2012-09-12-1,9,7-,3,1200189,2012-09-12,2013-01-16,CENTER FOR BIOLOGICAL DIVERSIT,NGO,"BLANK, ET AL",FED,13
9-81-1305641-2013-07-31-1,9,81,3,1305641,2013-07-31,2013-07-31,COLUMBIA RIVERKEEPER,NGO,"UNITED STATES ARMY CORP, ET AL",FED,18
9-71-1103106-2011-06-23-1,9,71,3,1103106,2011-06-23,2013-04-12,"SIERRA CLUB, ET AL",NGO,"JACKSON, ET AL",FED,14
0-90-1600738-2016-04-20-1,0,90,1,1600738,2016-04-20,2017-03-31,CENTER FOR BIOLOGICAL DIVERSIT,NGO,"JEWELL, ET AL",FED,6
0-90-1101174-2011-06-27-1,0,90,1,1101174,2011-06-27,2015-07-31,"AMERICAN FOREST RESOURC, ET AL",NGO,"SALAZAR, ET AL",FED,12
