OOC,TON,AIM,statute,OOC_new
0.16 acre of land,land,condemn land,nepa,conservation
2000 usda rule,forest%fauna%flora,complaince with nepa and esa,"nepa, esa, nfma",conservation
2004 sierra nevada forest plan amendment,forest,challenge amendment,"nepa, nfma",conservation
2004 sierra nevada forest plan amendment,forest,ensure compliance with the law,"nepa, nfma",conservation
2008 usfs forest plan,forest,stop plan,"nfma, nepa",conservation
21.1 acre property in los angeles,open space,condemn property,cercla,conservation
25 acres of protected native american land,open-space%toxic chemical,relief due to undisclosed conditions of land during purchase,antiquities act,conservation
3 tracts of privately owned land,open space,gain access to land,aea,conservation
32.42 acres of port land,coastline,sieze land,nepa,conservation
4500.25 acres of land in riverside county,land,stop eminent domain filing,esa,conservation
5 dams,river,reverse construction,cwa,conservation
5 million acres of forest,forest,challenge department action,"nepa, nfma, esa",conservation
53 acres of property in windsor* california,open space,stop endangerment,"rcra, cercla, cwa",conservation
90-day finding,fauna%mountian,challenge issuing,esa,conservation
a marina on bald head island,marsh%river%water,stop construction,"nepa, cwa",conservation
a new biological opinion,sea%fauna,challenge previous judgement,"esa, magnuson-stevens act",conservation
a new casino,open space,stop construction,nepa,conservation
a new public transit tunnel,open air%open space,stop construction,nepa,conservation
a proposed casino,open space,stop construction,nepa,conservation
a ring levee and access road,basin,stop construction,"cwa, nepa",conservation
"a road ""armoring"" project located along thirteen miles of indian river drive",land,stop construction,nepa,conservation
a specific regulation relating to a runway at jfk,air,stop pilots from straying over residential areas,"nca, caa",conservation
access to a roadway,land%other environmental,challenge authority,antiquities act,conservation
access to private property through federal land,forest,establish property claim,nepa,conservation
acoe claim to navigable water used by plaintiff,river,stop land seizure,cwa,conservation
acoe permit,wetlands%groundwater%river%marsh ecosystem%fauna%charismatic fauna,challenge permit,"cwa, nepa, cwa, esa, mbta",conservation
acoe project,river,prove standing,"cwa, nepa, esa",conservation
acoe project,beach,seek damages,"cwa, magnuson-stevens act",conservation
acoe project (not specified),fauna,stop project,"nepa, cwa, esa",conservation
acquisition of land,land,stop construction,"nepa, aea",conservation
addition of lanes to highway,mountains,stop construction,nepa,conservation
administrative law,other-environmental,seek information,nepa,conservation
administrative record,mine,amend record,"cwa, nepa",conservation
administrative record,water%fauna,compel completion,"magnuson-stevens act, nepa",conservation
administrative record,clean air%other-environmental,stop wind farm expansion,"cwa, mbta",conservation
administrative record,ocean%fauna,stop seismic airgun surveys,"mmpa, esa, nepa",conservation
administrative record,wetlands%toxic waste disposal,stop construction,cwa,conservation
administrative record of fracking rules,open land%other-environmental,include additional administratice documents in record,"flpma, mla, nepa, esa",conservation
administrative record supplement,charismatic fauna,stop horse castration program,nepa,conservation
administrative record%extent of discovery,river,stop bridge construction,"esa, nepa",conservation
administrative records re:nepa,ocean,stop bridge construction/add to admin record,nepa,conservation
adminstrative record,fauna,preserve administrative information,esa,conservation
after the fact permit,wetlands,allow construction,cwa,conservation
agency action eliminating immunity,ocean%charismatic fauna,set aside action,"esa, mmpa",conservation
agency biological opinion,river%fauna,save species,esa,conservation
agency biological opinion,river%fauna,challenge federal opinion,esa,conservation
agency catch rule,ocean%fauna,stop overfishing,magnuson-stevens act,conservation
agency conservation plan,fauna,expand administrative record,"nepa, esa",conservation
agency decision,fauna,challenge regulation,esa,conservation
agency decision to allow traffic through area of critical environmental concern,open space%desert,stop motorized trvehicle use,flpma,conservation
agency decision to authorize grazing,ag-fauna%forest,stop livestock grazing,"nfma, nepa",conservation
agency limitation on bycatch reporting,fauna%ocean,challenge ruling,magnuson-stevens act,conservation
agency opinion,ag-fauna%river,motion to disqualify judge,esa,conservation
agency plan,coast,enforce violation,czma,conservation
